Owner,Repository,Updated At,Link,Use Cases,Tech Stack
Azure,gpt-rag,2024-08-31T12:58:54Z,https://github.com/Azure/gpt-rag,x,
Azure,openai-at-scale,2023-06-09T00:33:19Z,https://github.com/Azure/openai-at-scale,x,
Azure,gen-cv,2024-08-31T08:21:23Z,https://github.com/Azure/gen-cv,x,
Azure,business-process-automation,2024-08-07T20:59:58Z,https://github.com/Azure/business-process-automation,x,
Azure,Vector-Search-AI-Assistant,2024-06-27T12:25:53Z,https://github.com/Azure/Vector-Search-AI-Assistant,x,
Azure-Samples,chat-with-your-data-solution-accelerator,2024-08-28T11:41:10Z,https://github.com/Azure-Samples/chat-with-your-data-solution-accelerator,x,
Azure-Samples,azure-search-openai-demo,2024-08-30T21:02:45Z,https://github.com/Azure-Samples/azure-search-openai-demo,x,
Azure-Samples,graphrag-accelerator,2024-08-15T18:19:56Z,https://github.com/Azure-Samples/graphrag-accelerator,x,
microsoft,Build-your-own-copilot-Solution-Accelerator,2024-08-30T14:19:47Z,https://github.com/microsoft/Build-your-own-copilot-Solution-Accelerator,Client Advsior / Research Assistant,Azure Open AI / AI Search / Microsoft Fabric
microsoft,rag-experiment-accelerator,2024-08-30T15:52:57Z,https://github.com/microsoft/rag-experiment-accelerator,RAG Experiment and Evaluations,Azure Open AI / AI Search / Prompt Flow
microsoft,sample-app-aoai-chatGPT,2024-08-30T20:37:27Z,https://github.com/microsoft/sample-app-aoai-chatGPT,Web chat on your data,Azure Open AI / AI Search / CosmosDB Mongo vCore vector index / Elasticsearch index / Pinecone index
microsoft,chat-copilot,2024-08-20T18:05:55Z,https://github.com/microsoft/chat-copilot,Web chat copilot,Azure Open AI / Semantic kernel
microsoft,azurechat,2024-02-29T02:47:25Z,https://github.com/microsoft/azurechat,Web chat on data / Persona / Extension,Azure Open AI / Authentication
microsoft,BotFramework-WebChat,2024-08-31T16:59:13Z,https://github.com/microsoft/BotFramework-WebChat,customizable web chat client ,React
microsoft,ai-chat-protocol,2024-08-14T14:16:30Z,https://github.com/microsoft/ai-chat-protocol,x,
microsoft,OpenAIWorkshop,2024-08-23T21:32:16Z,https://github.com/microsoft/OpenAIWorkshop,x,
MSUSAzureAccelerators,Knowledge-Mining-with-OpenAI,2023-11-15T08:20:41Z,https://github.com/MSUSAzureAccelerators/Knowledge-Mining-with-OpenAI,x,
MSUSAzureAccelerators,Azure-Cognitive-Search-Azure-OpenAI-Accelerator,2024-07-10T16:12:26Z,https://github.com/MSUSAzureAccelerators/Azure-Cognitive-Search-Azure-OpenAI-Accelerator,x,
pablomarin,GPT-Azure-Search-Engine,2024-07-10T16:12:26Z,https://github.com/pablomarin/GPT-Azure-Search-Engine,x,
tiger-openai-hackathon,hacks,2024-06-27T06:32:20Z,https://github.com/tiger-openai-hackathon/hacks,x,
